0	L1_DAC
1	L1_NGC-DA
2	L1_NGC-SA
3	L1_HAC
4	L1_DLAC
5	L1_SLAC
6	L23_PC
7	L23_MC
8	L23_BTC
9	L23_DBC
10	L23_BP
11	L23_NGC
12	L23_LBC
13	L23_NBC
14	L23_SBC
15	L23_ChC
16	L4_PC
17	L4_SP
18	L4_SS
19	L4_MC
20	L4_BTC
21	L4_DBC
22	L4_BP
23	L4_NGC
24	L4_LBC
25	L4_NBC
26	L4_SBC
27	L4_ChC
28	L5_TTPC1
29	L5_TTPC2
30	L5_UTPC
31	L5_STPC
32	L5_MC
33	L5_BTC
34	L5_DBC
35	L5_BP
36	L5_NGC
37	L5_LBC
38	L5_NBC
39	L5_SBC
40	L5_ChC
41	L6_TPC_L1
42	L6_TPC_L4
43	L6_UTPC
44	L6_IPC
45	L6_BPC
46	L6_MC
47	L6_BTC
48	L6_DBC
49	L6_BP
50	L6_NGC
51	L6_LBC
52	L6_NBC
53	L6_SBC
54	L6_ChC
